Currency Pair,Exchange Rate
"btc,bch",1.0000562582399999
"btc,bch",1.000021595900454
"btc,bch",1.0000084891800902
"btc,bch",0.9999568487677145
"btc,bch",0.9999714326996808
"btc,bch",0.9999582592427996
"btc,bch",1.0000490628655792
"btc,bch",1.0000474932774077
"btc,bch",0.9999973287775674
"btc,bch",0.9999974203579791
"btc,bch",0.9999972613809602
"btc,bch",1.0000075423557397
"btc,bch",1.0000073833771117
"btc,bch",0.9999942768430236
"btc,bch",0.9999943684231559
"btc,bch",0.9999927989208283
"btc,link",1.0000156443821642
"btc,link",1.0000025377398036
"btc,link",0.9999523081014511
"btc,link",0.999965481479932
"btc,link",0.9999508976347599
"btc,link",1.00006221
"btc,link",1.0000084492999588
"btc,link",0.9999582867586472
"btc,link",1.0000881084287296
"btc,link",0.9999568088896422
"btc,link",1.0000378744922032
"btc,link",0.9999669304763329
"btc,link",0.9999538244724381
"btc,link",1.0000479968994416
"btc,link",0.9999537570787631
"btc,link",1.000033411850836
"btc,ltc",1.0000083062764857
"btc,ltc",0.9999580763483822
"btc,ltc",1.0000098758031524
"btc,ltc",0.9999581437423485
"btc,ltc",0.9999582353191714
"btc,ltc",0.9999752150712399
"btc,ltc",0.9999235763771381
"btc,ltc",1.0000548715526234
"btc,ltc",0.9999250541970275
"btc,ltc",1.0000046392855688
"btc,ltc",1.00009544712
"btc,ltc",0.9999595927281166
"btc,ltc",0.9999611621783266
"btc,ltc",0.9999610032070719
"btc,ltc",1.0000406585563606
"btc,ltc",1.0000407501407405
"btc,eth",0.9999758989187334
"btc,eth",0.9999904831285382
"btc,eth",0.9999773768159521
"btc,eth",0.9999774683945365
"btc,eth",0.9999906421044792
"btc,eth",0.9999428087858772
"btc,eth",0.9999559820392142
"btc,eth",0.9999428761788144
"btc,eth",1.000022462685826
"btc,eth",1.0000370475747429
"btc,eth",0.9999832882273672
"btc,eth",0.9999834472021647
"btc,eth",0.9999818777169777
"btc,eth",1.0000629453518457
"btc,eth",1.0000630369382668
"btc,eth",1.0000731596002
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"btc,bnb",0.0
"bch,link",0.9999593884268999
"bch,link",0.9999462825218546
"bch,link",0.9998960557091738
"bch,link",1.0000565780728154
"bch,link",1.00011127591778
"bch,link",1.000097062119886
"bch,link",0.9999092283465855
"bch,link",0.9998946453218289
"bch,link",1.0000596301974995
"bch,link",1.0000697528249498
"bch,link",1.0000956514490147
"bch,link",1.000118471739825
"bch,link",1.0001443716255547
"bch,link",1.0000941348629555
"bch,link",1.0001042578396626
"bch,link",1.0000896719705277
"bch,ltc",0.9999520507340272
"bch,ltc",0.9999018236316121
"bch,ltc",1.0001028312018339
"bch,ltc",1.0001170450817205
"bch,ltc",1.0000623469212302
"bch,ltc",0.9999536201724
"bch,ltc",0.999901891021787
"bch,ltc",1.0000668770930143
"bch,ltc",0.9999019825934583
"bch,ltc",1.0000624143222239
"bch,ltc",1.000102990195636
"bch,ltc",1.0001111328796004
"bch,ltc",1.0000608977865668
"bch,ltc",1.000151710729687
"bch,ltc",1.0000969190837394
"bch,ltc",1.0000970106732714
"bch,eth",0.9999196451993532
"bch,eth",1.000120656352197
"bch,eth",0.999934228588722
"bch,eth",1.0000846342000602
"bch,eth",1.0000947570806014
"bch,eth",0.9999211230134326
"bch,eth",1.0000816494013551
"bch,eth",0.999921214586865
"bch,eth",1.0000861122579823
"bch,eth",1.0001222260551987
"bch,eth",0.99993438755572
"bch,eth",1.0000787221895373
"bch,eth",1.0000933078989742
"bch,eth",1.0001192071330405
"bch,eth",1.000119298724614
"bch,eth",1.0001294219560302
"bch,bnb",0.0
"bch,bnb",0.0
"bch,bnb",0.0
"bch,bnb",0.0
"bch,bnb",0.0
"bch,bnb",0.0
"bch,bnb",0.0
"bch,bnb",0.0
"bch,bnb",0.0
